Name of Account, Dollar Value in Millions, Date (yymmdd)
"Social Security Benefits",37,121016
"Supple. Nutrition Assist. Program",20,121016
"Transportation Security Admin.",1,121016
"Unemployment Insurance Benefits",458,121016
"Veterans Affairs programs",258,121016
"Federal Crop Ins. Corp.",53,121016
"Unclassified",1351,121016
"Total, Other Withdrawals",1700,121016
"Transfers to Depositaries",0,121016
"Commodity Credit Corporation programs",350,121015
"Defense Vendor Payments",2018,121015
"Education Department programs",788,121015
"Energy Department programs",153,121015
"Federal Employees Insurance Payments",143,121015
"Fed. Highway Administration programs",224,121015
"Federal Salaries",1535,121015
"Food and Nutrition Service",885,121015
"GSA programs",48,121015
"Health and Human Services Grants",527,121015
"Housing and Urban Development programs",189,121015
"Interest on Treasury Securities",2317,121015
"IRS Tax Refunds Business",188,121015
"IRS Tax Refunds Individual",51,121015
"Justice Department programs",52,121015
"Labor Dept. prgms",43,121015
"Medicaid",507,121015
"Medicare",1108,121015
"NASA programs",45,121015
"Postal Service Money Orders and Other",261,121015
"Public Debt Cash Redemp.",40649,121015
"Social Security Benefits",42,121015
"Supple. Nutrition Assist. Program",14,121015
"Transportation Security Admin.",1,121015
"Unemployment Insurance Benefits",217,121015
"Veterans Affairs programs",190,121015
"Emergency Prep &",97,121015
"Federal Crop Ins. Corp.",69,121015
"Military Active Duty Pay",2788,121015
"Unclassified",1471,121015
"Total, Other Withdrawals",5336,121015
"Transfers to Depositaries",0,121015
"Commodity Credit Corporation programs",1125,121012
"Defense Vendor Payments",1343,121012
"Education Department programs",893,121012
"Energy Department programs",219,121012
"Federal Employees Insurance Payments",228,121012
"Fed. Highway Administration programs",253,121012
"Federal Salaries",3077,121012
"Food and Nutrition Service",398,121012
"GSA programs",97,121012
"Health and Human Services Grants",352,121012
"Housing and Urban Development programs",263,121012
"Interest on Treasury Securities",0,121012
"IRS Tax Refunds Business",165,121012
"IRS Tax Refunds Individual",23,121012
"Justice Department programs",56,121012
"Labor Dept. prgms",42,121012
"Medicaid",861,121012
"Medicare",1265,121012
"NASA programs",70,121012
"Postal Service Money Orders and Other",125,121012
"Public Debt Cash Redemp.",878,121012
"Social Security Benefits",37,121012
"Supple. Nutrition Assist. Program",90,121012
"Transportation Security Admin.",1,121012
"Unemployment Insurance Benefits",120,121012
"Veterans Affairs programs",152,121012
"Emergency Prep &",98,121012
"Unclassified",770,121012
"Total, Other Withdrawals",1508,121012
"Transfers to Depositaries",0,121012
"Commodity Credit Corporation programs",1643,121011
"Defense Vendor Payments",765,121011
"Education Department programs",886,121011
"Energy Department programs",171,121011
"Federal Employees Insurance Payments",484,121011
"Fed. Highway Administration programs",435,121011
"Federal Salaries",44,121011
"Food and Nutrition Service",421,121011
"GSA programs",37,121011
"Health and Human Services Grants",378,121011
"Housing and Urban Development programs",183,121011
"Interest on Treasury Securities",1,121011
"IRS Tax Refunds Business",92,121011
"IRS Tax Refunds Individual",291,121011
"Justice Department programs",55,121011
"Labor Dept. prgms",63,121011
"Medicaid",2525,121011
"Medicare",1724,121011
"NASA programs",65,121011
"Postal Service Money Orders and Other",136,121011
"Public Debt Cash Redemp.",100258,121011
"Social Security Benefits",34,121011
"Supple. Nutrition Assist. Program",14,121011
"Transportation Security Admin.",1,121011
"Unemployment Insurance Benefits",280,121011
"Veterans Affairs programs",172,121011
"Federal Crop Ins. Corp.",57,121011
"Unclassified",966,121011
"Total, Other Withdrawals",1323,121011
"Transfers to Depositaries",0,121011
"Commodity Credit Corporation programs",626,121010
"Defense Vendor Payments",1048,121010
"Education Department programs",1347,121010
"Energy Department programs",133,121010
"Federal Employees Insurance Payments",624,121010
"Fed. Highway Administration programs",306,121010
"Federal Salaries",49,121010
"Food and Nutrition Service",411,121010
"GSA programs",95,121010
"Health and Human Services Grants",575,121010
"Housing and Urban Development programs",168,121010
"Interest on Treasury Securities",1,121010
"IRS Tax Refunds Business",790,121010
"IRS Tax Refunds Individual",30,121010
"Justice Department programs",46,121010
"Labor Dept. prgms",62,121010
"Medicaid",1355,121010
"Medicare",1894,121010
"NASA programs",126,121010
"Postal Service Money Orders and Other",172,121010
"Public Debt Cash Redemp.",836,121010
"Social Security Benefits",11091,121010
"Supple. Nutrition Assist. Program",8,121010
"Transportation Security Admin.",1,121010
"Unemployment Insurance Benefits",441,121010
"Veterans Affairs programs",179,121010
"Federal Crop Ins. Corp.",89,121010
"Unclassified",1265,121010
"Total, Other Withdrawals",1571,121010
"Transfers to Depositaries",0,121010
"Commodity Credit Corporation programs",306,121009
"Defense Vendor Payments",1078,121009
"Education Department programs",958,121009
"Energy Department programs",142,121009
"Federal Employees Insurance Payments",300,121009
"Fed. Highway Administration programs",602,121009
"Federal Salaries",80,121009
"Food and Nutrition Service",1311,121009
"GSA programs",56,121009
"Health and Human Services Grants",1,121009
"Housing and Urban Development programs",187,121009
"Interest on Treasury Securities",1,121009
"IRS Tax Refunds Business",227,121009
"IRS Tax Refunds Individual",33,121009
"Justice Department programs",61,121009
"Labor Dept. prgms",37,121009
"Medicaid",705,121009
"Medicare",1693,121009
"NASA programs",24,121009
"Postal Service Money Orders and Other",262,121009
"Public Debt Cash Redemp.",940,121009
"Social Security Benefits",37,121009
"Supple. Nutrition Assist. Program",8,121009
"Transportation Security Admin.",31,121009
"Unemployment Insurance Benefits",409,121009
"Veterans Affairs programs",244,121009
"Emergency Prep &",51,121009
"Federal Crop Ins. Corp.",56,121009
"Treasury Department programs",150,121009
"Unclassified",1355,121009
"Total, Other Withdrawals",2044,121009
"Transfers to Depositaries",0,121009
"Commodity Credit Corporation programs",372,121005
"Defense Vendor Payments",1334,121005
"Education Department programs",854,121005
"Energy Department programs",150,121005
"Federal Employees Insurance Payments",128,121005
"Fed. Highway Administration programs",98,121005
"Federal Salaries",84,121005
"Food and Nutrition Service",380,121005
"GSA programs",3,121005
"Health and Human Services Grants",311,121005
"Housing and Urban Development programs",140,121005
"Interest on Treasury Securities",1,121005
"IRS Tax Refunds Business",88,121005
"IRS Tax Refunds Individual",19,121005
"Justice Department programs",67,121005
"Labor Dept. prgms",27,121005
"Medicaid",2040,121005
"Medicare",1227,121005
"NASA programs",38,121005
"Postal Service Money Orders and Other",159,121005
"Public Debt Cash Redemp.",860,121005
"Social Security Benefits",30,121005
"Supple. Nutrition Assist. Program",58,121005
"Transportation Security Admin.",41,121005
"Unemployment Insurance Benefits",133,121005
"Veterans Affairs programs",264,121005
"Emergency Prep &",77,121005
"Unclassified",1297,121005
"Total, Other Withdrawals",1431,121005
"Transfers to Depositaries",0,121005
"Commodity Credit Corporation programs",597,121004
"Defense Vendor Payments",671,121004
"Education Department programs",730,121004
"Energy Department programs",118,121004
"Federal Employees Insurance Payments",205,121004
"Fed. Highway Administration programs",0,121004
"Federal Salaries",816,121004
"Food and Nutrition Service",326,121004
"GSA programs",96,121004
"Health and Human Services Grants",311,121004
"Housing and Urban Development programs",161,121004
"Interest on Treasury Securities",0,121004
"IRS Tax Refunds Business",235,121004
"IRS Tax Refunds Individual",16,121004
"Justice Department programs",75,121004
"Labor Dept. prgms",79,121004
"Medicaid",1220,121004
"Medicare",1161,121004
"NASA programs",93,121004
"Postal Service Money Orders and Other",142,121004
"Public Debt Cash Redemp.",100207,121004
"Social Security Benefits",31,121004
"Supple. Nutrition Assist. Program",17,121004
"Transportation Security Admin.",1,121004
"Unemployment Insurance Benefits",206,121004
"Veterans Affairs programs",172,121004
"Federal Crop Ins. Corp.",51,121004
"Veterans Benefits",85,121004
"Unclassified",1159,121004
"Total, Other Withdrawals",1425,121004
"Transfers to Depositaries",0,121004
"Commodity Credit Corporation programs",22,121003
"Defense Vendor Payments",1337,121003
"Education Department programs",933,121003
"Energy Department programs",92,121003
"Federal Employees Insurance Payments",221,121003
"Fed. Highway Administration programs",0,121003
"Federal Salaries",86,121003
"Food and Nutrition Service",312,121003
"GSA programs",21,121003
"Health and Human Services Grants",262,121003
"Housing and Urban Development programs",293,121003
"Interest on Treasury Securities",1,121003
"IRS Tax Refunds Business",17,121003
"IRS Tax Refunds Individual",261,121003
"Justice Department programs",125,121003
"Labor Dept. prgms",50,121003
"Medicaid",960,121003
"Medicare",1337,121003
"NASA programs",139,121003
"Postal Service Money Orders and Other",133,121003
"Public Debt Cash Redemp.",865,121003
"Social Security Benefits",23290,121003
"Supple. Nutrition Assist. Program",4,121003
"Transportation Security Admin.",2,121003
"Unemployment Insurance Benefits",337,121003
"Veterans Affairs programs",22,121003
"Federal Crop Ins. Corp.",513,121003
"Federal Financing Bank",205,121003
"Unclassified",869,121003
"Total, Other Withdrawals",2397,121003
"Transfers to Depositaries",0,121003
"Commodity Credit Corporation programs",48,121002
"Defense Vendor Payments",422,121002
"Education Department programs",320,121002
"Energy Department programs",125,121002
"Federal Employees Insurance Payments",248,121002
"Fed. Highway Administration programs",0,121002
"Federal Salaries",686,121002
"Food and Nutrition Service",266,121002
"GSA programs",60,121002
"Health and Human Services Grants",326,121002
"Housing and Urban Development programs",194,121002
"Interest on Treasury Securities",1,121002
"IRS Tax Refunds Business",70,121002
"IRS Tax Refunds Individual",35,121002
"Justice Department programs",8,121002
"Labor Dept. prgms",34,121002
"Medicaid",860,121002
"Medicare",1599,121002
"NASA programs",12,121002
"Postal Service Money Orders and Other",167,121002
"Public Debt Cash Redemp.",847,121002
"Social Security Benefits",48,121002
"Supple. Nutrition Assist. Program",7,121002
"Transportation Security Admin.",49,121002
"Unemployment Insurance Benefits",446,121002
"Veterans Affairs programs",194,121002
"Federal Crop Ins. Corp.",458,121002
"Supple. Security Income Benefits",105,121002
"Treasury Department programs",185,121002
"Unclassified",861,121002
"Total, Other Withdrawals",2006,121002
"Transfers to Depositaries",0,121002
"Commodity Credit Corporation programs",39,121001
"Defense Vendor Payments",943,121001
"Education Department programs",739,121001
"Energy Department programs",160,121001
"Federal Employees Insurance Payments",161,121001
"Fed. Highway Administration programs",69,121001
"Federal Salaries",1856,121001
"Food and Nutrition Service",310,121001
"GSA programs",527,121001
"Health and Human Services Grants",278,121001
"Housing and Urban Development programs",2479,121001
"Interest on Treasury Securities",6195,121001
"IRS Tax Refunds Business",37,121001
"IRS Tax Refunds Individual",24,121001
"Justice Department programs",53,121001
"Labor Dept. prgms",42,121001
"Medicaid",378,121001
"Medicare",17038,121001
"NASA programs",0,121001
"Postal Service Money Orders and Other",251,121001
"Public Debt Cash Redemp.",59231,121001
"Social Security Benefits",167,121001
"Supple. Nutrition Assist. Program",24,121001
"Transportation Security Admin.",0,121001
"Unemployment Insurance Benefits",210,121001
"Veterans Affairs programs",491,121001
"Civil Service Retirement",4892,121001
"Emergency Prep &",63,121001
"Federal Crop Ins. Corp.",464,121001
"Federal Financing Bank",113,121001
"International Monetary Fund",100,121001
"Military Active Duty Pay",4016,121001
"Military Retirement",3948,121001
"Pmt. to Corp. for Pub. Broadcasting",445,121001
"Railroad Retirement",957,121001
"Supple. Security Income Benefits",3510,121001
"Treasury Department programs",62,121001
"Veterans Benefits",4257,121001
"Unclassified",690,121001
"Total, Other Withdrawals",23516,121001
"Transfers to Depositaries",0,121001
"Commodity Credit Corporation programs",43,120928
"Defense Vendor Payments",2096,120928
"Education Department programs",1093,120928
"Energy Department programs",303,120928
"Federal Employees Insurance Payments",273,120928
"Fed. Highway Administration programs",18,120928
"Federal Salaries",3148,120928
"Food and Nutrition Service",169,120928
"GSA programs",124,120928
"Health and Human Services Grants",713,120928
